talk,AIResult,UserResult
"这局真没那么不堪，毕竟双方水平就这样，今年最恶心的一把比赛还得是之前EDG对微博，那场真的看的让人反胃，今年最下作的一场比赛没有之一","","游戏"
"夏季赛必解散，但是也买不到合适的人，所以解散了也是史","","游戏"
"致敬传奇捕蝗队LGD，至此春季赛已经捕捉了22夏季RNG所有选手","","游戏"
"lwx要是没交那个死亡闪，中路这波他也收割了，太抽象了","","游戏"
"有一说一，LGD赢了6场，其中4个是比自己排名低的，另一个TT和自己战绩一样，没赢下来。还有两个是这个赛季无比魔幻的LNG和WBG，可以看到LGD一个强队都赢不了，比自己弱的基本都能拿下，实力和发挥都十分稳定，收钱说属实尬黑玩烂梗了","","游戏"
"我就是才买的这个机箱，这个是少数io接口在下面并且出风口都自带磁吸防尘网的，唯一缺点可能就是没有typec，我觉得比星灿小岚好点，还有上面装风扇的时候有一点点软，可能是结构问题","","数码"
"机箱HiFi系列，名叫RTX，要笑死我","","数码"
"这种机箱通风不好，不利于oc","","数码"
"天天DIY里不带显示器不带风扇，殊不知显示器才是电脑游戏最核心的部件，一切都要围绕它来展开搭配（你确定了什么级别的显示器，就好定其余的配置了），而风扇总是属于加购产品，但风扇在现在的DIY里哪个会不配呢，尤其主打颜值的机箱。","","数码"
"整体尺寸一般，公版外观一般，接口一般，卖200块我感觉贵了，乔斯伯D41有个20G满速type-c，有独立设计外观，我去年618就是209入手的，尺寸也是很极限，不会很臃肿","","数码"
